Name,Genre,Artist,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Liveness
It Wasn't Me,"hip hop, pop",Shaggy,0.853,0.606,-4.596,0.0713,0.0561,0.0,0.654,0.313
Survivor,"pop, R&B",Destiny's Child,0.514,0.911,-2.027,0.41,0.0559,0.0,0.619,0.775
Stan,hip hop,Eminem,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.507,0.518
Can't Get You out of My Head,"pop, Dance/Electronic",Kylie Minogue,0.766,0.563,-7.516,0.0339,0.0263,0.683,0.964,0.115
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",pop,Christina Aguilera,0.76,0.801,-3.769,0.0534,0.0144,1.49e-05,0.653,0.665
I'm Like A Bird,"hip hop, pop, latin",Nelly Furtado,0.622,0.608,-5.085,0.036,0.138,5.38e-06,0.607,0.273
"Whenever, Wherever","pop, latin",Shakira,0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.871,0.203
The Middle,"rock, pop",Jimmy Eat World,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.903,0.058
Drops of Jupiter (Tell Me),pop,Train,0.481,0.638,-5.862,0.0276,0.153,0.0,0.497,0.154
It's Raining Men,pop,Geri Halliwell,0.637,0.929,-6.03,0.0447,0.063,0.00796,0.604,0.318
Hit 'Em Up Style (Oops!),"pop, R&B",Blu Cantrell,0.667,0.773,-4.983,0.0586,0.201,0.0,0.667,0.404
I'm a Slave 4 U,pop,Britney Spears,0.847,0.843,-3.579,0.106,0.415,0.000134,0.963,0.107
In Your Eyes,"pop, Dance/Electronic",Kylie Minogue,0.689,0.894,-6.342,0.0672,0.133,4.72e-05,0.709,0.0681
One Minute Man (feat. Ludacris),"hip hop, pop, R&B",Missy Elliott,0.622,0.669,-8.419,0.329,0.0266,2.97e-06,0.57,0.152
Family Affair,"pop, R&B",Mary J. Blige,0.911,0.551,-3.75,0.0449,0.132,4.12e-05,0.969,0.0863
We Come 1 - Radio Edit,"pop, Dance/Electronic",Faithless,0.645,0.903,-10.587,0.0441,0.00188,0.799,0.61,0.147
Rollin' (Air Raid Vehicle),metal,Limp Bizkit,0.603,0.933,-3.358,0.171,0.00591,0.0,0.709,0.206
Something,pop,Lasgo,0.643,0.981,-6.644,0.0439,0.0271,8.93e-05,0.38,0.11
Rapture (feat.Nadia Ali),Dance/Electronic,iio,0.661,0.855,-8.403,0.0377,0.0722,0.0185,0.601,0.199
What Took You So Long?,pop,Emma Bunton,0.668,0.772,-5.4,0.0307,0.123,0.0,0.911,0.341
It's Over Now,"hip hop, pop, R&B",112,0.66,0.71,-4.541,0.0409,0.0106,7.01e-06,0.233,0.0736
All Rise,pop,Blue,0.721,0.737,-2.734,0.0324,0.121,0.0,0.931,0.165
Irresistible,"pop, R&B",Jessica Simpson,0.657,0.965,-2.771,0.0556,0.0285,8.84e-05,0.669,0.0552
Butterfly,"rock, metal",Crazy Town,0.736,0.811,-4.17,0.081,0.00132,0.000142,0.609,0.107
You Rock My World,"pop, R&B",Michael Jackson,0.854,0.673,-3.132,0.185,0.038,0.000227,0.955,0.255
Let Me Blow Ya Mind,"hip hop, pop, R&B",Eve,0.908,0.557,-4.243,0.107,0.242,0.0,0.897,0.0709
Ain't It Funny,"hip hop, pop, R&B",Jennifer Lopez,0.707,0.869,-4.525,0.0481,0.104,0.000121,0.621,0.0813
Another Day in Paradise - R&B-Version,"hip hop, pop, R&B",Brandy,0.7,0.787,-5.176,0.0327,0.00666,3.68e-05,0.556,0.0724
How You Remind Me,"rock, metal",Nickelback,0.446,0.764,-5.042,0.033,0.00135,0.0,0.543,0.099
One More Time,"hip hop, Dance/Electronic",Daft Punk,0.613,0.697,-8.618,0.133,0.0194,0.0,0.476,0.332
Ms. Jackson,"hip hop, pop",Outkast,0.843,0.806,-5.946,0.269,0.143,0.0,0.613,0.0771
Everytime You Need Me - Radio Version,"pop, Dance/Electronic",Fragma,0.682,0.917,-5.459,0.0318,0.15,0.0676,0.79,0.34
Loverboy,"pop, R&B",Mariah Carey,0.721,0.79,-4.125,0.124,0.183,0.0,0.821,0.1
Thank You,pop,Dido,0.725,0.583,-9.942,0.0427,0.3,0.000238,0.762,0.0665
Stutter (feat. Mystikal) - Double Take Remix,"pop, R&B",Joe,0.767,0.759,-6.516,0.117,0.0513,0.0,0.677,0.31
Youth of the Nation,"rock, metal",P.O.D.,0.563,0.86,-7.533,0.0621,0.00834,0.0106,0.517,0.39
Play,"hip hop, pop, R&B",Jennifer Lopez,0.775,0.729,-4.229,0.162,0.0303,0.00247,0.895,0.0361
Get Ur Freak On,"hip hop, pop, R&B",Missy Elliott,0.797,0.75,-9.369,0.247,0.533,0.108,0.74,0.095
Nobody Wants to Be Lonely (with Christina Aguilera),"pop, latin",Ricky Martin,0.635,0.854,-5.02,0.0612,0.00579,0.0083,0.59,0.0623
AM To PM,"hip hop, pop, R&B",Christina Milian,0.872,0.868,-3.036,0.12,0.153,2.26e-05,0.822,0.843
Another Chance,Dance/Electronic,Roger Sanchez,0.61,0.82,-10.029,0.0312,0.000211,0.146,0.45,0.138
Clint Eastwood,hip hop,Gorillaz,0.663,0.694,-8.627,0.171,0.0253,0.0,0.525,0.0698
Until The End Of Time,hip hop,2Pac,0.757,0.706,-6.665,0.203,0.0267,0.0,0.375,0.197
Stranger in My House,"pop, R&B",Tamia,0.676,0.601,-4.905,0.0297,0.103,0.0,0.206,0.147
No More Drama,"pop, R&B",Mary J. Blige,0.653,0.837,-6.818,0.124,0.534,7.12e-05,0.64,0.0784
Love Don't Cost a Thing,"hip hop, pop, R&B",Jennifer Lopez,0.786,0.842,-5.115,0.0707,0.00305,3.54e-06,0.685,0.473
Little L,pop,Jamiroquai,0.878,0.724,-5.373,0.129,0.168,0.0116,0.904,0.133
Missing You,"hip hop, pop, R&B",Case,0.612,0.579,-6.417,0.0553,0.285,0.0,0.716,0.0556
Peaches & Cream,"hip hop, pop, R&B",112,0.677,0.52,-6.255,0.334,0.00277,0.0,0.768,0.0532
Let's Dance - Radio Edit,pop,Five,0.631,0.821,-7.853,0.0867,0.00876,0.000247,0.547,0.293
Touch Me (Radio Edit) [feat. Cassandra],Dance/Electronic,Rui Da Silva,0.464,0.922,-8.399,0.0638,0.124,0.227,0.695,0.0546
Smooth Criminal,"rock, metal",Alien Ant Farm,0.653,0.964,-4.261,0.0582,0.00316,0.00512,0.87,0.144
Music (feat. Marvin Gaye),"hip hop, pop",Erick Sermon,0.897,0.466,-9.053,0.203,0.187,1.35e-06,0.884,0.0757
Purple Pills,"hip hop, pop, rock",D12,0.78,0.634,-5.941,0.16,0.0199,2.98e-05,0.754,0.29
Pop Ya Collar - Radio Edit,"hip hop, pop, R&B",Usher,0.888,0.8,-3.944,0.0946,0.0901,2.12e-05,0.866,0.229
Don't Tell Me,pop,Madonna,0.699,0.618,-7.338,0.0594,0.0502,0.000925,0.679,0.0914
If You Come Back,pop,Blue,0.582,0.707,-4.487,0.0319,0.0822,0.0,0.701,0.0467
Eternal Flame - Single Version,pop,Atomic Kitten,0.578,0.581,-6.867,0.0318,0.0658,0.0042,0.408,0.0674
Where the Party At (feat. Nelly),"hip hop, pop, R&B",Jagged Edge,0.596,0.661,-6.239,0.226,0.31,0.0,0.86,0.0847
Because I Got High,hip hop,Afroman,0.802,0.341,-8.56,0.488,0.169,0.0,0.849,0.0783
Don't Stop Movin',pop,S Club 7,0.822,0.672,-6.133,0.0329,0.0285,0.0,0.91,0.213
Fill Me In,"hip hop, pop, R&B",Craig David,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.827,0.06
Turn Off The Light,"hip hop, pop, latin",Nelly Furtado,0.587,0.679,-6.26,0.0927,0.0839,0.000316,0.65,0.413
Starlight - Radio Edit,Dance/Electronic,The Supermen Lovers,0.739,0.679,-5.079,0.0373,0.000424,0.0187,0.786,0.389
All I Want - Sunship Radio Edit,"pop, Dance/Electronic",Mis-Teeq,0.795,0.919,-3.07,0.0835,0.37,0.00863,0.96,0.189
Promise,"hip hop, pop, R&B",Jagged Edge,0.751,0.568,-5.431,0.0872,0.136,0.0,0.646,0.0288
Have You Ever,pop,S Club 7,0.585,0.702,-5.734,0.0325,0.538,0.0,0.51,0.216
Only Time,"World/Traditional, Folk/Acoustic",Enya,0.418,0.249,-13.744,0.0301,0.841,0.661,0.213,0.112
There You'll Be,"pop, country",Faith Hill,0.321,0.511,-7.77,0.0306,0.513,0.0,0.17,0.127
Lovin' Each Day,"pop, rock",Ronan Keating,0.541,0.899,-6.261,0.0633,0.0178,2.95e-06,0.829,0.286
Bootylicious,"pop, R&B",Destiny's Child,0.84,0.835,-4.386,0.275,0.00281,1.11e-06,0.637,0.152
It's the Way You Make Me Feel,"pop, Dance/Electronic",Steps,0.573,0.665,-5.081,0.0239,0.108,2.09e-06,0.347,0.095
Heard It All Before,"pop, R&B",Sunshine Anderson,0.697,0.925,-4.209,0.216,0.0614,0.0,0.678,0.095
Again,"rock, pop",Lenny Kravitz,0.55,0.804,-5.218,0.0271,0.0148,4.33e-05,0.789,0.105
Gotta Get Thru This - D'N'D Radio Edit,pop,Daniel Bedingfield,0.836,0.762,-5.044,0.0598,0.0826,5.48e-05,0.941,0.102
Point Of View - Radio Edit,Dance/Electronic,DB Boulevard,0.676,0.715,-6.854,0.0287,0.00284,0.0746,0.275,0.0685
All For You,"pop, R&B",Janet Jackson,0.753,0.934,-3.011,0.0736,0.0174,0.065,0.73,0.128
Whole Again,pop,Atomic Kitten,0.747,0.706,-4.653,0.0413,0.0844,0.00355,0.567,0.174
Livin' It Up,"hip hop, pop, R&B",Ja Rule,0.874,0.768,-4.086,0.311,0.0554,0.0,0.636,0.041
"Independent Women, Pt. 1","pop, R&B",Destiny's Child,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.927,0.169
Do You Really Like It? - Radio Edit,Dance/Electronic,DJ Pied Piper & The Masters Of Ceremonies,0.847,0.877,-5.424,0.0493,0.124,0.0,0.764,0.148
I'm Real (feat. Ja Rule) - Murder Remix,"hip hop, pop, R&B",Jennifer Lopez,0.708,0.587,-7.93,0.151,0.273,0.0,0.554,0.0718
Love,"pop, R&B",Musiq Soulchild,0.569,0.385,-9.919,0.0499,0.342,0.0,0.339,0.0876
21 Seconds,Dance/Electronic,So Solid Crew,0.607,0.637,-11.072,0.241,0.0191,0.0,0.818,0.124
Eternity,"pop, rock",Robbie Williams,0.469,0.316,-8.106,0.0265,0.504,6.04e-06,0.199,0.0919
Romeo,"pop, Dance/Electronic",Basement Jaxx,0.713,0.829,-4.171,0.0491,0.00769,0.00203,0.844,0.139
Southern Hospitality (Featuring Pharrell),"hip hop, pop",Ludacris,0.623,0.896,-4.719,0.247,0.035,0.0,0.613,0.0941
Rise,"pop, R&B",Gabrielle,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.631,0.09
Ride Wit Me,"hip hop, pop, R&B",Nelly,0.85,0.7,-6.49,0.0478,0.0616,1.8e-06,0.722,0.244
I'm a Thug,"hip hop, pop",Trick Daddy,0.933,0.561,-5.961,0.122,0.0275,0.0,0.586,0.102
Sing,"rock, pop",Travis,0.33,0.905,-5.047,0.0497,0.000233,8.14e-06,0.259,0.0712
Izzo (H.O.V.A.),hip hop,JAY-Z,0.618,0.844,-4.051,0.342,0.0178,0.000126,0.697,0.0634
Out Of Reach,"pop, R&B",Gabrielle,0.51,0.48,-6.567,0.0452,0.503,0.0,0.496,0.106
Heaven Is a Halfpipe (If I Die),rock,OPM,0.743,0.894,-6.886,0.0349,0.0755,0.00283,0.77,0.367
Crazy,"pop, R&B",K-Ci & JoJo,0.68,0.644,-4.507,0.0258,0.084,0.0,0.484,0.549
It's Been Awhile,"rock, metal",Staind,0.509,0.774,-4.054,0.0338,0.00189,0.000549,0.0824,0.143
No More (Baby I'ma Do Right),"pop, R&B",3LW,0.721,0.723,-7.08,0.0631,0.102,4.4e-06,0.761,0.0651
Differences,"hip hop, pop, R&B",Ginuwine,0.562,0.594,-4.578,0.0558,0.318,0.0,0.423,0.311
Gone,pop,*NSYNC,0.699,0.403,-8.564,0.0614,0.421,0.0,0.5,0.126
Hanging By A Moment,"pop, rock, metal",Lifehouse,0.537,0.858,-4.903,0.0349,0.000966,0.0,0.502,0.0812
Dilemma,"hip hop, pop, R&B",Nelly,0.727,0.552,-8.074,0.14,0.227,0.000164,0.607,0.198
Without Me,hip hop,Eminem,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.662,0.237
Complicated,pop,Avril Lavigne,0.585,0.776,-5.898,0.0459,0.0572,7.74e-06,0.427,0.3
A Thousand Miles,"Folk/Acoustic, pop",Vanessa Carlton,0.56,0.825,-3.862,0.0379,0.323,0.0,0.268,0.161
Wherever You Will Go,pop,The Calling,0.558,0.719,-5.113,0.0267,0.0367,0.0,0.371,0.115
Underneath Your Clothes,"pop, latin",Shakira,0.616,0.597,-5.328,0.0415,0.691,0.0,0.362,0.104
Underneath It All,"rock, pop",No Doubt,0.729,0.731,-4.822,0.0684,0.232,1.57e-06,0.839,0.391
Addictive,"pop, R&B",Truth Hurts,0.701,0.677,-6.591,0.147,0.0737,0.000162,0.367,0.187
I Know What You Want (feat. Flipmode Squad),"hip hop, pop",Busta Rhymes,0.648,0.759,-4.315,0.306,0.0142,0.0,0.518,0.648
'Till I Collapse,hip hop,Eminem,0.548,0.847,-3.237,0.186,0.0622,0.0,0.1,0.0816
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]","hip hop, pop",Diddy,0.713,0.471,-7.392,0.483,0.421,0.0,0.779,0.0308
When You Look At Me - Radio Edit,"hip hop, pop, R&B",Christina Milian,0.955,0.839,-3.399,0.127,0.0934,0.000175,0.825,0.099
Die Another Day,pop,Madonna,0.792,0.797,-5.166,0.0901,0.062,0.00325,0.491,0.0896
I'm Gonna Be Alright (feat. Nas),"hip hop, pop, R&B",Jennifer Lopez,0.718,0.69,-4.382,0.265,0.106,0.0,0.774,0.271
If I Could Go! (feat. Lil' Mo & Sacario),pop,Angie Martinez,0.583,0.643,-7.486,0.355,0.171,0.0,0.7,0.0395
In the End,"rock, metal",Linkin Park,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.4,0.209
The Ketchup Song (Aserejé) - Spanglish Version,set(),Las Ketchup,0.607,0.923,-6.777,0.0948,0.0193,1.1e-06,0.868,0.0924
Rock The Boat,"hip hop, pop, R&B",Aaliyah,0.641,0.72,-5.209,0.0336,0.0688,0.00286,0.418,0.193
